Explosion Proof Motors,,,,,,,,,,
Voltage,380v,460v,480v,660v,1140v,400v,440v,690v,3kv,6kv
Power,45kw,0.75kw,355kw,0.18kw,0.37kw,0.12kw,90kw,7.5kw,160kw,3000kw
Speed ,high speed,slow speed,43rpm,29rpm,,,,,,
Phase,three-phase,single-phase,,,,,,,,
Frequency,60hz,50hz,,,,,,,,
Usage,reactor,industrial,water,coal mill machine,"solid grains,chemical",universal,for fan,coal mine,"pump,mill,cement",air pump
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
