Frequency Conversion Motors,,,,,,,,,,
Voltage,220v,380v,240v,415v,3kv,6kv,660v,13.8kv,2.5kv,440v
Power,220v,50v,electronic,hydraulic,3.35kw,2.5kw,1.5kw,4kw,7.5kw,4000kw
Speed ,150rpm,3000rpm,300rpm,6000rpm,,,,,,
Phase,Tree-phase,single-phase,"three-phase,three phase",,,,,,,
Frequency,50hz,60hz,30hz,400hz,5hz,100hz,,,,
Usage,"pump,fanetc",abrasion tester,"for ldpe,hdpe,etc","mill nachine,lift machine",industrial,universal,balancing machine,tensile testing machine,water,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
