Gate Motors,,,,,,,,,,
Voltage,110v ,24v ,120v,12v ,230v ,380,220v ,,,
Power,200w ,370w,40w ,1200w ,60w ,250w ,100w ,150w ,120w ,25w 
Speed,1400r/min ,Low Speed ,High Speed ,1500rpm ,20cm/s ,16m/min ,Constant Speed ,,,
Phase,Three Phase ,Single Phase ,,,,,,,,
Frequency,50hz  ,60hz  ,433.92mhz ,,,,,,,
Usage,Universal ,Industrial ,Home Appliance ,Commercial Door ,Garage Door ,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
