Linear Motors,,,,,,,,,,,,,,,,,,,,,,,,,
voltage,12v,24v,36v,48v,6v,380,4.8,,,,,,,,,,,,,,,,,,
power,50w,60w,100w,30w,113,45w,25w,120w,3kw,1.5kw,,,,,,,,,,,,,,,
speed,5rpm,4.5rpm,45rpm,40rpm,2800rpm,low speed,3rpm,60rpm,high speed,constant speed,,,,,,,,,,,,,,,
phase,single-phase,three-phase,,,,,,,,,,,,,,,,,,,,,,,
frequency,50hz,60hz,,,,,,,,,,,,,,,,,,,,,,,
usage,industrial,home appliance,car,boat,electric bicycle,motorized lcd lift,universal,industry,auto,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
