Pancake Motors,,,,,,,,,,,,
Voltage,220v,12v ,24v,6v,1.9v,3v,180v,380v,14.8v,18.5v,,
Power,1800w,15w,1001 - 2000w,0.25KW,1350w,3.6kw ,2.9kw,600w,1001w,2000w,,
Speed,1500rpm,3250rpm,0.5 Rpm, 2000 Rpm,3500rpm(no Load),2700(no Load),9000rpm,800rpm,11000rpm,1500rpm, , 
Phase,Three-phase ,single phase,,,,,,,,,,
Frequency,50hz ,60hz ,,,,,,,,,,
Usage,Cake,"Vibrating Screen,feeder Ect.",hoting food,Upward casting copper rod,Sell food and snack,Universal,Speed Sensor,Produce,Vibrating Screen , feeder  ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,1,,,,,,,
