Reluctance Motors,,,,,,,,,,
Voltage,12v,300v,18v,42v,dc285v,380v,415v,450v,49v,72v
Power,40w,750w,800w,230w,200w,500w,60w,400w,2300w,0.18kw
Speed ,31000rpm,3000rpm,30000rpm,350rpm,450rpm,1600rpm,"16,000rpm",1700rpm,1800rpm,6100rpm
Phase,single-phase,three-phase,,,,,,,,
Frequency,50hz,60hz,,,,,,,,
Usage,"boat,car,fan,home appliance",winding,fan,"car,electric bicycle",universal,electric tool,household appliance,"bibrating screen,feeder ect",tricycle,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
