Rocket Motors,,,,,,,,,,
Voltage,72v,48v,96v,135v,115v,120v,380v,660v,on request,
Power,2200w,0.12kw,2.2kw,1600w,2700w,110vac,240vac,1.5vdc,15w,direct current
Speed ,965rpm,2100rpm,830rpm,950rpm,413rpm,,,,,
Phase,Single-phase,Three-phase,,,,,,,,
Frequency,52.5hz,50hz,60hz,,,,,,,
Usage,various of usage,motorcycle/scooter,sex toy,truck,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
