Toy Motors,,,,,,,,,,,,,,,
Voltage,12v,6v,24v,2v,220v,1.5v,3v dc,12v dc,4v,,,,,,
Power,10w,350w,20w,1w,3w,25w,73.6W,0.9w,130w,41.7w,4200w,,,,
Speed,20000rpm,1500rpm,6000rpm,9000rpm,1rpm,10rpm,3000rmp,500rpm,20rpm,300Rpm,12000rpm,1600rpm,1000r/m,4024rpm,6300rpm
Phase,Single-phase,Three-phase,,,,,,,,,,,,,
Frequency,50hz,60hz,2.4ghz With 4 Channels,,,,,,,,,,,,
Usage,Home Appliance,Fan,Universal,Toy,Boat,car,airplane,Massager,Boat,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
