Tubular Motors,,,,,,,,,,,,
Voltage,12v,24v,120v,230v,110v,220v,120v,6v,240v,,,
Power,135w,800,85w,220w,160w,132w,115w,50w,300w,,,
Speed,Low Speed,Constant Speed,965rpm,8rpm,28rpm,30rpm,4rpm,25rpm,815rpm,5rpm,40rpm,Variable Speed
Phase,single phase,three phase,,,,,,,,,,
Frequency,50hz,60hz,433.92mhz,868hz,433hz,303hz,,,,,,
Usage,Household Appliance,Universal,Home,Home Appliance,Electric Bicycle,Industrial,Roller Door,Household,Electric Tool,Industry,Garment,garden
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
